strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
ignition,2024-04-01T07:20:00+00:00,2024-04-01T08:00:00+00:00,buy,5329.5,5328.5,-18.72,stop,40
ignition,2024-04-01T12:40:00+00:00,2024-04-01T13:12:00+00:00,buy,5315.0,5312.25,-14.99,stop,32
ignition,2024-04-01T13:28:00+00:00,2024-04-01T13:30:00+00:00,buy,5311.5,5309.25,-12.49,stop,2
ignition,2024-04-01T13:46:00+00:00,2024-04-01T14:00:00+00:00,buy,5314.75,5310.75,-21.24,stop,14
ignition,2024-04-01T16:04:00+00:00,2024-04-01T17:20:00+00:00,buy,5289.0,5285.25,-19.99,stop,76
ignition,2024-04-01T17:06:00+00:00,2024-04-01T17:22:00+00:00,sell,5289.25,5284.5,22.51,target,16
ignition,2024-04-01T18:22:00+00:00,2024-04-01T19:36:00+00:00,buy,5292.0,5289.25,-14.99,stop,74
ignition,2024-04-02T06:30:00+00:00,2024-04-02T06:36:00+00:00,buy,5290.25,5289.0,-22.47,stop,6
ignition,2024-04-02T06:48:00+00:00,2024-04-02T06:52:00+00:00,buy,5292.0,5290.5,-17.48,stop,4
ignition,2024-04-02T07:38:00+00:00,2024-04-02T08:02:00+00:00,buy,5289.0,5293.25,20.01,target,24
ignition,2024-04-02T08:02:00+00:00,2024-04-02T08:40:00+00:00,buy,5293.75,5290.25,-18.74,stop,38
ignition,2024-04-02T10:18:00+00:00,2024-04-02T10:38:00+00:00,buy,5286.0,5284.0,-22.48,stop,20
ignition,2024-04-02T11:36:00+00:00,2024-04-02T11:42:00+00:00,buy,5280.0,5278.0,-22.48,stop,6
ignition,2024-04-02T12:26:00+00:00,2024-04-02T12:32:00+00:00,buy,5273.75,5271.75,-22.48,stop,6
ignition,2024-04-02T15:14:00+00:00,2024-04-02T15:48:00+00:00,buy,5246.75,5243.0,-19.99,stop,34
ignition,2024-04-02T16:32:00+00:00,2024-04-02T16:48:00+00:00,buy,5245.0,5249.5,21.26,target,16
ignition,2024-04-02T16:48:00+00:00,2024-04-02T17:18:00+00:00,buy,5249.75,5246.0,-19.99,stop,30
ignition,2024-04-02T17:10:00+00:00,2024-04-02T17:44:00+00:00,sell,5249.0,5244.75,20.01,target,34
ignition,2024-04-02T18:20:00+00:00,2024-04-02T18:22:00+00:00,buy,5251.5,5249.5,-22.48,stop,2
ignition,2024-04-02T19:04:00+00:00,2024-04-02T19:14:00+00:00,buy,5256.0,5251.75,-22.49,stop,10
ignition,2024-04-02T19:30:00+00:00,2024-04-02T19:34:00+00:00,buy,5254.0,5259.5,26.26,target,4
ignition,2024-04-02T19:48:00+00:00,2024-04-02T19:52:00+00:00,buy,5261.0,5257.0,-21.24,stop,4
ignition,2024-04-02T19:58:00+00:00,2024-04-03T00:04:00+00:00,buy,5261.0,5256.5,-23.74,stop,246
ignition,2024-04-03T07:00:00+00:00,2024-04-03T07:04:00+00:00,buy,5254.25,5252.0,-12.49,stop,4
ignition,2024-04-03T08:48:00+00:00,2024-04-03T08:56:00+00:00,buy,5255.25,5253.0,-24.98,stop,8
ignition,2024-04-03T11:04:00+00:00,2024-04-03T11:30:00+00:00,buy,5252.75,5257.0,20.01,target,26
ignition,2024-04-03T11:30:00+00:00,2024-04-03T11:40:00+00:00,buy,5256.75,5254.25,-13.74,stop,10
ignition,2024-04-03T11:58:00+00:00,2024-04-03T12:16:00+00:00,buy,5257.5,5255.0,-13.74,stop,18
ignition,2024-04-03T12:14:00+00:00,2024-04-03T12:24:00+00:00,sell,5256.75,5250.75,28.76,target,10
ignition,2024-04-03T12:38:00+00:00,2024-04-03T12:50:00+00:00,buy,5252.5,5248.0,-23.74,stop,12
ignition,2024-04-03T13:28:00+00:00,2024-04-03T13:32:00+00:00,buy,5248.0,5253.75,27.51,target,4
ignition,2024-04-03T13:36:00+00:00,2024-04-03T14:00:00+00:00,buy,5255.25,5262.25,33.76,target,24
ignition,2024-04-03T15:16:00+00:00,2024-04-03T15:20:00+00:00,sell,5277.5,5279.75,-12.49,stop,4
ignition,2024-04-03T14:50:00+00:00,2024-04-03T15:50:00+00:00,buy,5277.25,5274.25,-16.24,stop,60
ignition,2024-04-03T16:18:00+00:00,2024-04-03T16:38:00+00:00,buy,5274.25,5269.75,-23.74,stop,20
ignition,2024-04-03T16:36:00+00:00,2024-04-03T16:38:00+00:00,sell,5272.25,5264.5,37.51,target,2
ignition,2024-04-03T19:50:00+00:00,2024-04-03T23:28:00+00:00,buy,5265.75,5273.25,36.26,target,218
ignition,2024-04-03T23:28:00+00:00,2024-04-03T23:30:00+00:00,buy,5273.75,5276.25,22.52,target,2
ignition,2024-04-04T07:20:00+00:00,2024-04-04T08:30:00+00:00,buy,5279.75,5283.75,18.76,target,70
ignition,2024-04-04T11:00:00+00:00,2024-04-04T11:24:00+00:00,buy,5284.75,5283.0,-19.98,stop,24
ignition,2024-04-04T12:34:00+00:00,2024-04-04T12:48:00+00:00,buy,5288.75,5296.0,35.01,target,14
ignition,2024-04-04T12:48:00+00:00,2024-04-04T13:10:00+00:00,buy,5297.0,5303.75,32.51,target,22
ignition,2024-04-04T13:10:00+00:00,2024-04-04T13:38:00+00:00,buy,5303.5,5300.75,-14.99,stop,28
ignition,2024-04-04T15:40:00+00:00,2024-04-04T16:04:00+00:00,buy,5299.5,5303.75,20.01,target,24
ignition,2024-04-04T16:04:00+00:00,2024-04-04T17:02:00+00:00,buy,5305.25,5302.25,-16.24,stop,58
ignition,2024-04-04T22:06:00+00:00,2024-04-04T22:22:00+00:00,buy,5203.5,5199.5,-21.24,stop,16
ignition,2024-04-04T22:20:00+00:00,2024-04-05T00:36:00+00:00,sell,5203.25,5198.0,25.01,target,136
ignition,2024-04-05T01:52:00+00:00,2024-04-05T02:02:00+00:00,sell,5196.0,5198.25,-12.49,stop,10
ignition,2024-04-05T00:50:00+00:00,2024-04-05T03:32:00+00:00,buy,5198.25,5203.25,23.76,target,162
ignition,2024-04-05T03:58:00+00:00,2024-04-05T04:02:00+00:00,buy,5205.5,5204.25,-22.47,stop,4
ignition,2024-04-05T06:04:00+00:00,2024-04-05T06:12:00+00:00,buy,5208.75,5206.25,-13.74,stop,8
ignition,2024-04-05T06:34:00+00:00,2024-04-05T06:40:00+00:00,buy,5210.5,5208.75,-19.98,stop,6
ignition,2024-04-05T08:02:00+00:00,2024-04-05T08:06:00+00:00,buy,5213.25,5210.5,-14.99,stop,4
ignition,2024-04-05T08:36:00+00:00,2024-04-05T08:42:00+00:00,buy,5212.75,5211.0,-19.98,stop,6
